"MARKA","TSB_MODEL","SIFIR_MODEL","KAYNAK","MASTER_MODEL_ADI"
"BMW","M6 GRAN","","TSB",""
"BMW","M760e","","TSB",""
"BMW","M760Li","","TSB",""
"BMW","M760Li XDRIVE6.6 (609)","","TSB",""
"BMW","M760Li XDRIVE6.6 (609) PURE","","TSB",""
"BMW","M8","","TSB",""
"BMW","M8 GRAN","","TSB",""
"BMW","M850i","","TSB",""
"BMW","X1","X1","HER İKİSİ",""
"BMW","X1 M35i","","TSB",""
"BMW","X1 SDRIVE16d","","TSB",""
"BMW","X1 SDRIVE16i","","TSB",""
"BMW","X1 SDRIVE18d","","TSB",""
"BMW","X1 SDRIVE18i","","TSB",""
"BMW","X1 SDRIVE20i","","TSB",""
"BMW","X1 XDRIVE20d","","TSB",""
"BMW","X1 XDRIVE20d (184)","","TSB",""
"BMW","X1 XDRIVE20d LCI","","TSB",""
"BMW","X1 XDRIVE20i","","TSB",""
"BMW","X1 XDRIVE25D","","TSB",""
"BMW","X1 XDRIVE25e","","TSB",""
"BMW","X1 XDRIVE30E","","TSB",""
"BMW","X1 XDRIVE30E X LINE","","TSB",""
"BMW","X2","X2","HER İKİSİ",""
"BMW","X2 M35i","","TSB",""
"BMW","X2 SDRIVE18i","","TSB",""
"BMW","X2 SDRIVE20i","","TSB",""
"BMW","X2 XDRIVE20d","","TSB",""
"BMW","X3","X3","HER İKİSİ",""
"BMW","X3 LCI","","TSB",""
"BMW","X3 LCI SDRIVE20d","","TSB",""
"BMW","X3 LCI SDRIVE20i","","TSB",""
"BMW","X3 LCI XDRIVE20d","","TSB",""
"BMW","X3 LCI XDRIVE30i","","TSB",""
"BMW","X3 LCI XRIVE20d","","TSB",""
"BMW","X3 M40i","","TSB",""
"BMW","X3 SDIRVE20i","","TSB",""
"BMW","X3 SDRIVE18d","","TSB",""
"BMW","X3 SDRIVE20i","","TSB",""
"BMW","X3 XDRIVE20d","","TSB",""
"BMW","X3 XDRIVE20D HYBRID","","TSB",""
"BMW","X3 XRIVE20d","","TSB",""
"BMW","X4 XDRIVE20d","","TSB",""
"BMW","X5","X5","HER İKİSİ",""
"BMW","X5 3.0iA","","TSB",""
"BMW","X5 M50d","","TSB",""
"BMW","X5 XDRIVE0e ›PERFORMACE","","TSB",""
"BMW","X5 XDRIVE0e iPERFORMANCE 2..0","","TSB",""
"BMW","X5 XDRIVE20d","","TSB",""
"BMW","X5 XDRIVE25d","","TSB",""
"BMW","X5 xDRIVE40d","","TSB",""
"BMW","X5 XDRIVE40e","","TSB",""
"BMW","X5 XDRIVE40e iPERFORMANCE","","TSB",""
"BMW","X5 XDRIVE40i","","TSB",""
"BMW","X5 XDRIVE50i SECURITY","","TSB",""
"BMW","X6","X6","HER İKİSİ",""
"BMW","X6 XDRIVE30d F16","","TSB",""
"BMW","X6 XDRIVE40d","","TSB",""
"BMW","X6 XDRIVE40d F16","","TSB",""
"BMW","X7","X7","HER İKİSİ",""
"BMW","X7 M60i","","TSB",""
"BMW","X7 XDRIVE40d","","TSB",""
"BMW","XM (653)","","TSB",""
"BMW","XM LABEL RED","","TSB",""
"BMW","Z4","Z4","HER İKİSİ",""
"BMW","Z4 ROADSTAR","","TSB",""
"BMW","Z4 SDRIVE20i (197)","","TSB",""
"BMW","Z4 SDRIVE20i RADSTER","","TSB",""
"BMW","Z4 SDRIVE20i ROADSTER","","TSB",""
"BMW","Z4 SDRIVE28i ROADSTER","","TSB",""
"BMW","Z4 SDRIVE30i","","TSB",""
"BMW","Z4 sDRIVE35is","","TSB",""
"BOZANKAYA","OTOBUS SILEO","","TSB",""
"BOZANKAYA","OTOBUS SILEO 12M","","TSB",""
"BOZANKAYA","OTOBUS SILEO CIFT KORUKLU 24M","","TSB",""
"BOZANKAYA","OTOBUS SILEO CIFT KORUKLU 25M","","TSB",""
"BOZANKAYA","OTOBUS SILEO KORUKLU 18M","","TSB",""
"BOZANKAYA","OTOBUS SILEO L12 12M E-BUS","","TSB",""
"BREDAMENARIBUS","AVANCITY","","TSB",""
"BUICK","ENCLAVE","","TSB",""
"BUICK","ENCORE GX","","TSB",""
"BYD","ATTO","","TSB",""
"BYD","BYD TANG","","TSB",""
"BYD","DOLPHIN 150KW","","TSB",""
"BYD","HAN 380KW","","TSB",""
"BYD","LEOPARD","","TSB",""
"BYD","SEAL","","TSB",""
"BYD","SEAL 390KW","","TSB",""
"BYD","SEAL U DM-i","","TSB",""
"BYD","SEAL U EV","","TSB",""
"BYD","SEALION","","TSB",""
"BYD","TANG 380KW","","TSB",""
"CADILLAC","CADILLAC SRX","","TSB",""
"CADILLAC","CT6","","TSB",""
"CADILLAC","CTS","","TSB",""
"CADILLAC","CTS V V8","","TSB",""
"CADILLAC","ESCALADE","","TSB",""
"CADILLAC","XT5","","TSB",""
"CARTHAGO","CHIC C-LINE","","TSB",""
"CATERHAM","CATERHAM SEVEN","","TSB",""
"CATERHAM","SEVEN 340R","","TSB",""
"CENNTRO","LS260 (N1)","","TSB",""
"CENNTRO","METRO (N1)","","TSB",""
"CHANGAN","TEK KABIN KAMYONET","","TSB",""
"CHERY","ALIA","","TSB",""
"CHERY","CHANCE","","TSB",""
"CHERY","KIMO","","TSB",""
"CHERY","NICHE","","TSB",""
"CHERY","OMODA","","TSB",""
"CHERY","TAXIM","","TSB",""
"CHERY","TIGGO","","TSB",""
"CHERY","TIGGO3","","TSB",""
"CHERY","TIGGO3 XL","","TSB",""
"CHEVROLET","AVALANCHE II","","TSB",""
"CHEVROLET","AVEO","","TSB",""
"CHEVROLET","AVEO CLASSIC","","TSB",""
"CHEVROLET","CAMARO","","TSB",""
"CHEVROLET","CAMARO 2LT V6","","TSB",""
"CHEVROLET","CAMARO 2SS","","TSB",""
"CHEVROLET","CAMARO CONVERTIBLE","","TSB",""
"CHEVROLET","CAMARO ZL1","","TSB",""
"CHEVROLET","CAPTIVA","","TSB",""
"CHEVROLET","CORVETTE C7","","TSB",""
"CHEVROLET","CORVETTE C7 STINGRAY","","TSB",""
"CHEVROLET","CORVETTE C8","","TSB",""
"CHEVROLET","CORVETTE CONVERTIBLE STINGRAY","","TSB",""
"CHEVROLET","CORVETTE Z06","","TSB",""
