marka_kodu,tip_kodu,arac_yili,kasko_degeri,veri_yili,veri_ay
9,275,2012,2175298,2026,6
9,287,2012,769528,2026,6
9,297,2012,2639951,2026,6
9,301,2012,1257948,2026,6
9,324,2012,1155038,2026,6
9,328,2012,1116827,2026,6
9,339,2014,2663178,2026,6
9,339,2013,2583282,2026,6
9,339,2012,2505783,2026,6
9,370,2012,2175298,2026,6
9,371,2012,2701487,2026,6
9,373,2012,3212489,2026,6
9,380,2012,1522909,2026,6
9,392,2012,2547475,2026,6
9,393,2012,2627945,2026,6
9,401,2012,1482328,2026,6
9,402,2012,1557960,2026,6
9,405,2012,8251380,2026,6
9,406,2013,10032763,2026,6
9,406,2012,9731780,2026,6
9,408,2012,1313576,2026,6
9,409,2012,1563252,2026,6
9,410,2012,1182840,2026,6
9,411,2012,3410766,2026,6
9,412,2012,743266,2026,6
9,413,2012,779461,2026,6
9,414,2012,1147586,2026,6
9,415,2012,2750249,2026,6
9,416,2012,936514,2026,6
9,417,2012,967194,2026,6
9,420,2012,1088041,2026,6
9,421,2012,1188339,2026,6
9,425,2013,2434202,2026,6
9,425,2012,2361176,2026,6
9,426,2012,1203237,2026,6
9,435,2013,908722,2026,6
9,435,2012,881460,2026,6
9,436,2013,897144,2026,6
9,436,2012,870230,2026,6
9,437,2012,936514,2026,6
9,438,2012,834949,2026,6
9,439,2012,873380,2026,6
9,440,2012,1707300,2026,6
9,441,2014,1819286,2026,6
9,441,2013,1764707,2026,6
9,441,2012,1711765,2026,6
9,442,2012,2062007,2026,6
9,443,2013,1843878,2026,6
9,443,2012,1788562,2026,6
9,444,2012,1169689,2026,6
9,445,2012,1225329,2026,6
9,446,2012,1225329,2026,6
9,447,2012,1332015,2026,6
9,448,2012,1495058,2026,6
9,449,2012,1172031,2026,6
9,450,2012,3576495,2026,6
9,452,2012,1397886,2026,6
9,453,2012,1220980,2026,6
9,454,2012,1572751,2026,6
9,461,2012,1680234,2026,6
9,463,2012,1012303,2026,6
9,465,2012,967194,2026,6
9,466,2012,1231041,2026,6
9,467,2012,2049107,2026,6
9,470,2012,1366091,2026,6
9,471,2012,1580464,2026,6
9,472,2012,1648891,2026,6
9,474,2013,1674458,2026,6
9,474,2012,1624225,2026,6
9,477,2012,2485452,2026,6
9,478,2012,967194,2026,6
9,479,2012,2665301,2026,6
9,480,2012,1546722,2026,6
9,481,2012,1599260,2026,6
9,482,2012,1756198,2026,6
9,483,2012,1386835,2026,6
9,484,2012,1363689,2026,6
9,485,2012,1587178,2026,6
9,486,2012,1591257,2026,6
9,487,2012,1722139,2026,6
9,488,2012,1856377,2026,6
9,489,2012,2022861,2026,6
9,490,2012,1681413,2026,6
9,491,2012,4002925,2026,6
9,492,2012,1471107,2026,6
9,494,2012,1182966,2026,6
9,495,2012,1237772,2026,6
9,496,2012,1526945,2026,6
9,497,2013,1542289,2026,6
9,497,2012,1496020,2026,6
9,498,2012,1497232,2026,6
9,499,2012,1692933,2026,6
9,500,2012,1398575,2026,6
9,501,2012,3689135,2026,6
9,502,2012,3923121,2026,6
9,503,2012,1627653,2026,6
9,504,2012,2040738,2026,6
9,505,2012,9425541,2026,6
9,506,2013,11347510,2026,6
9,506,2012,11007084,2026,6
9,507,2012,1450162,2026,6
9,508,2012,1569750,2026,6
9,509,2012,2759969,2026,6
9,510,2012,735423,2026,6
9,511,2013,943143,2026,6
9,511,2012,914848,2026,6
9,512,2012,753369,2026,6
9,513,2012,1036334,2026,6
9,514,2013,1108352,2026,6
9,514,2012,1075102,2026,6
